01096023999925010125010100000000000000000000000Pucallpa EFE                       Jiron Raymondi N 698                                                            CALLERIA                           0000Ucayali                            0250101N000000000000000000000000000000000000000000A2022070100000
01096024999921110121110100000000000000000000000Juliaca EFE                        Jr. Bracesco N 439                                                              JULIACA                            0000Puno                               0211101N000000000000000000000000000000000000000000A2022070100000
01096028999922010122010100000000000000000000000Moyobamba EFE                      Jiron Pedro Canga                                                               MOYOBAMBA                          0000San Martin                         0220101N000000000000000000000000000000000000000000A2022070100000
01096029999920070120070100000000000000000000000Talara EFE                         Av. Grau                                                                        PARINAS                            0000Piura                              0200701N000000000000000000000000000000000000000000A2022070100000
01096040999917010117010100000000000000000000000Puerto Maldonado EFE               Av. Leon Velarde                                                                TAMBOPATA                          0000Madre de Dios                      0170101N000000000000000000000000000000000000000000A2022070100000
01096051999915010115010100000000000000000000000San Juan Miraflores EFE            Av. Heroes                                                                      SAN JUAN DE MIRAFLORES             0000Lima                               0150133N000000000000000000000000000000000000000000A2022070100000
01096054999915010115010100000000000000000000000San Martin EFE                     Av. Peru                                                                        SAN MARTIN DE PORRES               0000Lima                               0150135N000000000000000000000000000000000000000000A2022070100000
01096060999915010115010100000000000000000000000Caceres EFE                        Ciudad Mariscal Caceres                                                         SAN JUAN DE LURIGANCHO             0000Lima                               0150132N000000000000000000000000000000000000000000A2022070100000
01096064999915050715050700000000000000000000000Canete EFE                         Jr. 28 De Julio N 315                                                           IMPERIAL                           0000Lima                               0150507N000000000000000000000000000000000000000000A2022070100000
01096065999916011316011300000000000000000000000Iquitos 2 EFE                      Av. Jose Abelardo Quinonez                                                      SAN JUAN BAUTISTA                  0000Loreto                             0160113N000000000000000000000000000000000000000000A2022070100000
01096072999913090113090100000000000000000000000Huamachuco EFE                     Jiron Jose Balta                                                                HUAMACHUCO                         0000La Libertad                        0130901N000000000000000000000000000000000000000000A2022070100000
01096075999904010104010100000000000000000000000Arequipa 1 LC                      Calle Jerusalen                                                                 AREQUIPA                           0000Arequipa                           0040101N000000000000000000000000000000000000000000A2022070100000
01096076999904012904012900000000000000000000000Arequipa 2 LC                      Av. Andres A. Caceres                                                           JOSE LUIS BUSTAMANTE Y RIVERO      0000Arequipa                           0040129N000000000000000000000000000000000000000000A2022070100000
01096078999905010105010100000000000000000000000Ayacucho LC                        Av. Mariscal Caceres                                                            AYACUCHO                           0000Ayacucho                           0050101N000000000000000000000000000000000000000000A2022070100000
01096082999908010108010100000000000000000000000Cusco LC                           Calle San Andres                                                                CUSCO                              0000Cusco                              0080101N000000000000000000000000000000000000000000A2022070100000
01096085999910010110010100000000000000000000000Huanuco 1 LC                       Calle Huanuco                                                                   HUANUCO                            0000Huanuco                            0100101N000000000000000000000000000000000000000000A2022070100000
